Product ID,Category,Product Name,Stock Quantity,Price,Supplier
1,Books,Product 1,438,4536.639663844998,Supplier 129
2,Groceries,Product 2,175,4418.101535865657,Supplier 156
3,Groceries,Product 3,91,4415.940599976583,Supplier 168
4,Furniture,Product 4,198,4144.434403222762,Supplier 120
5,Electronics,Product 5,396,1356.1219343466823,Supplier 47
6,Furniture,Product 6,81,1568.5546500028563,Supplier 85
7,Automotive,Product 7,188,2532.7024705379577,Supplier 10
8,Groceries,Product 8,314,605.6249607959178,Supplier 84
9,Books,Product 9,476,1149.8966341704777,Supplier 87
10,Furniture,Product 10,220,3763.9235610240353,Supplier 92
11,Books,Product 11,163,2759.541504506274,Supplier 120
12,Books,Product 12,487,2702.1256871285464,Supplier 69
13,Electronics,Product 13,199,2049.830846169613,Supplier 83
14,Groceries,Product 14,224,4315.137192954154,Supplier 58
15,Groceries,Product 15,227,3882.866927390739,Supplier 90
16,Home Appliances,Product 16,467,1607.0893113901623,Supplier 145
17,Toys,Product 17,64,343.11726168986195,Supplier 147
18,Electronics,Product 18,164,1127.3862012417703,Supplier 144
19,Furniture,Product 19,223,2373.259503332843,Supplier 114
20,Toys,Product 20,187,1982.9670389140592,Supplier 95
21,Beauty,Product 21,350,2931.3783546234117,Supplier 57
22,Toys,Product 22,401,1677.1728639244066,Supplier 20
23,Sports Equipment,Product 23,292,2525.106825865189,Supplier 110
24,Clothing,Product 24,486,3783.399932787797,Supplier 154
25,Toys,Product 25,255,3649.074893023072,Supplier 139
26,Sports Equipment,Product 26,320,59.65907523964023,Supplier 137
27,Furniture,Product 27,159,2665.829062066654,Supplier 61
28,Automotive,Product 28,117,2832.988559674271,Supplier 13
29,Sports Equipment,Product 29,36,540.3783164062282,Supplier 154
30,Electronics,Product 30,420,3373.939713618989,Supplier 194
31,Toys,Product 31,405,4717.194686551383,Supplier 123
32,Furniture,Product 32,150,4953.80229452802,Supplier 153
33,Toys,Product 33,321,4257.192624211599,Supplier 78
34,Furniture,Product 34,206,436.08611286072676,Supplier 50
35,Automotive,Product 35,381,2555.2069787693827,Supplier 116
36,Beauty,Product 36,11,526.9650717111409,Supplier 38
37,Sports Equipment,Product 37,285,4891.425329891737,Supplier 78
38,Sports Equipment,Product 38,181,2213.889724113954,Supplier 169
39,Toys,Product 39,16,298.2944623165503,Supplier 39
40,Home Appliances,Product 40,36,3974.6636359645554,Supplier 81
41,Groceries,Product 41,386,2060.3667031284995,Supplier 164
42,Books,Product 42,364,1655.3474533071349,Supplier 63
43,Automotive,Product 43,107,4233.428278150294,Supplier 152
44,Clothing,Product 44,68,2330.1200637584466,Supplier 67
45,Sports Equipment,Product 45,154,4425.265727508501,Supplier 58
46,Books,Product 46,85,3526.862738742675,Supplier 200
47,Home Appliances,Product 47,132,4870.963374532287,Supplier 84
48,Sports Equipment,Product 48,12,3058.3118101617483,Supplier 70
49,Electronics,Product 49,358,277.10198429120675,Supplier 104
50,Toys,Product 50,411,1274.668310887548,Supplier 49
51,Sports Equipment,Product 51,127,1167.946881354932,Supplier 170
52,Books,Product 52,487,1458.6988659176327,Supplier 144
